Paper ID,Title,Authors,Year,Venue,Publisher,DOI,Citation Count,Dataset,Architecture,Task,Modality,Explainability,Generalization,Limitations,Future Work,Code Available,Dataset Available,Keywords,Reading Status,Priority,Notes,Folder Location,BibTeX Available,PDF Available,Reviewed,Quality Score,Research Relevance,Owner,Version,Status,Created,Updated
P0011,"Hybrid Deep Learning Model Based on GAN and RESNET for Detecting Fake Faces","Soha Safwat, Ayat Mahmoud, Ibrahim Eldesouky Fattoh, Farid Ali",2024,IEEE Access,Institute of Electrical and Electronics Engineers (IEEE),10.1109/ACCESS.2024.3416910,48,"Real and Fake Face Detection dataset (2041 images: 1081 real, 960 fake)","Hybrid GAN + ResNet (GAN for feature learning, ResNet for classification); compared with VGG16, ResNet-50",Deepfake face detection (binary classification),Image (face),No,Not evaluated,"Very small dataset (2041 images); no cross-dataset evaluation; no generalization analysis; limited to single dataset",Larger datasets; cross-dataset evaluation; comparison with more architectures; generalization testing,yes,no,"deepfake detection, GAN, ResNet, hybrid model, face detection, deep learning",read,medium,"Hybrid approach is interesting but limited by very small dataset and no generalization evaluation. High citation count suggests community interest despite limitations.",02_Literature/papers/P0011.pdf,yes,yes,yes,18,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0012,"Securing Synthetic Faces: A GAN-blockchain Approach to Privacy-Enhanced Facial Recognition","Muhammad Ahmad Nawaz Ul Ghani, Kun She, Muhammad Arslan Rauf, Masoud Alajmi, Yazeed Yasin Ghadi, Abdulmohsen Algarni",2024,Journal of King Saud University - Computer and Information Sciences,Springer Science and Business Media LLC,10.1016/jjksuci.2024.102036,21,unknown,GAN + blockchain integration,Privacy-enhanced facial recognition using synthetic faces,Image (face),No,Not evaluated,"Focus on privacy/security rather than detection; blockchain overhead",Scalability; integration with detection pipelines; regulatory compliance,yes,no,"GAN, blockchain, facial recognition, privacy, synthetic faces, security",read,low,"Similar to P0004 — focuses on GAN use for privacy rather than detection. Limited relevance to detection research question.",02_Literature/papers/P0012.pdf,yes,yes,yes,10,low,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0013,"A robust ensemble model for Deepfake detection of GAN-generated images on social media","Preeti Sharma, Manoj Kumar, Hitesh Kumar Sharma",2025,Discover Computing,Springer Science and Business Media LLC,10.1007/s10791-025-09538-w,14,unknown,"Ensemble model (multiple classifiers combined for robustness)",Deepfake detection of GAN-generated images on social media,Image (face),No,Focused on robustness to social media compression/processing,"Dataset details not readily available; limited to GAN images; no diffusion model testing",Extension to diffusion models; real-time deployment; larger benchmarks,unknown,unknown,"deepfake detection, ensemble model, GAN, social media, robustness, face detection",read,medium,"Relevant for robustness aspect of detection. Ensemble approach may inform our forensic system design. Same authors as P0017.",02_Literature/papers/P0013.pdf,yes,yes,yes,16,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0014,"The Face Deepfake Detection Challenge","Luca Guarnera, Oliver Giudice, Francesco Guarnera, Alessandro Ortis, Giovanni Puglisi, Antonino Paratore, Linh M. Q. Bui, Marco Fontani, Davide Alessandro Coccomini, Roberto Caldelli, Fabrizio Falchi, Claudio Gennaro, Nicola Messina, Giuseppe Amato, Gianpaolo Perelli, Sara Concas, Carlo Cuccu, Giulia Orrù, Gian Luca Marcialis, Sebastiano Battiato",2022,Journal of Imaging,MDPI AG,10.3390/jimaging8100263,70,Challenge-specific dataset (multiple GAN architectures),Multiple submitted detection methods (competition format),Deepfake face detection challenge/benchmark,Image (face),Varies by submission,Evaluated across multiple generators (challenge format),"Challenge-specific metrics; may not represent real-world conditions; limited to GAN-era generators",Diffusion model challenges; cross-modal challenges; standardized evaluation protocols,yes,yes,"deepfake detection, challenge, benchmark, GAN, face detection, competition, evaluation",read,high,"Important benchmark paper from the Guarnera/Battiato group. Challenge format provides cross-method comparison. Valuable for evaluation protocol design.",02_Literature/papers/P0014.pdf,yes,yes,yes,26,high,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0015,"Global–Local Facial Fusion Based GAN Generated Fake Face Detection","Ziyu Xue, Xiuhua Jiang, Qingtong Liu, Zhaoshan Wei",2023,Sensors,MDPI AG,10.3390/s23020616,30,"CelebA (real), CelebA-HQ (25000 real + 25000 fake for training; 2500+2500 for testing)","GLFNet: dual-branch (local iris/pupil analysis + global ResNeSt residual extraction) with fusion classifier",GAN-generated fake face detection,Image (face),"Yes (local branch provides physiological explanations: iris color, pupil shape)",Limited to GAN architectures tested on CelebA-HQ,"Limited dataset diversity; GAN-only; physiological features may not transfer to diffusion models",Cross-generator testing; diffusion model extension; larger dataset evaluation; more physiological features,yes,no,"GAN detection, face forensics, global-local fusion, iris analysis, residual features, CelebA-HQ, GLFNet",read,medium,"Interesting dual-branch approach combining physiological and residual features. Explainability through iris/pupil analysis is relevant to forensic system. Limited generalization testing.",02_Literature/papers/P0015.pdf,yes,yes,yes,22,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0016,"Comparative Detection of GAN and Diffusion Model Generated Faces: Bias, Robustness, and Explainability","Omar Altamimi, Manar Al-Nashash, Malak Abdullah",2026,Proceedings of the 17th International Conference on Information and Communication Systems,ACM,10.1145/3812734.3813716,0,"AI-Face-FairnessBench","ResNet-101, EfficientNet-B4, Xception",Comparative detection of GAN vs diffusion model generated faces,Image (face),"Yes (Grad-CAM analysis showing model attention regions)",Evaluated across both GAN and diffusion model generated faces,"Zero-learning statistical audit achieved 85% accuracy suggesting dataset bias; EfficientNet-B4 drops to 86.75% on DM faces; conference paper with limited detail",Mitigating dataset bias; more diverse generators; robustness to post-processing; larger-scale evaluation,yes,unknown,"GAN detection, diffusion model detection, bias, robustness, explainability, Grad-CAM, face detection, fairness",read,critical,"Directly addresses RQ: compares GAN vs DM detection with bias/robustness/explainability analysis. Recent (2026). Key finding: significant dataset bias exists. Critical for understanding cross-generator challenges.",02_Literature/papers/P0016.pdf,yes,yes,yes,24,critical,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0017,"A GAN-Based Model of Deepfake Detection in Social Media","Preeti, Manoj Kumar, Hitesh Kumar Sharma",2023,Procedia Computer Science,Elsevier BV,10.1016/j.procs.2023.01.191,120,unknown,GAN-based detection model,Deepfake detection in social media context,Image (face),No,Not evaluated,"Conference proceedings paper; limited methodological detail; no cross-dataset evaluation",Improved architectures; larger datasets; cross-platform evaluation,yes,no,"deepfake detection, GAN, social media, deep learning, face detection",read,low,"Early work by same group as P0013. High citation count but limited methodological depth. Superseded by P0013.",02_Literature/papers/P0017.pdf,yes,yes,yes,14,low,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0018,"Mastering Deepfake Detection: A Cutting-Edge Approach to Distinguish GAN and Diffusion-Model Images","Luca Guarnera, Oliver Giudice, Sebastiano Battiato",2024,"ACM Transactions on Multimedia Computing, Communications, and Applications",Association for Computing Machinery (ACM),10.1145/3652027,70,"Custom dataset: 83000 images (balanced real/fake) from 9 GAN architectures + 4 diffusion models",Hierarchical multi-level pipeline based on ResNet-101 (Level 1: real/fake; Level 2: GAN/DM; Level 3: specific architecture attribution),Hierarchical deepfake detection and source attribution (GAN vs diffusion model),Image (face),Partial (hierarchical classification provides some interpretability),Extensively evaluated across 9 GAN + 4 diffusion model architectures; robustness to JPEG compression and resizing,"Proprietary dataset; may not generalize to newest generators; hierarchical approach adds complexity",Extension to new generators; lightweight deployment; video extension; open dataset release,yes,no,"deepfake detection, GAN, diffusion model, hierarchical classification, source attribution, ResNet-101, image forensics, robustness",read,critical,"Top-priority paper: directly addresses cross-generator detection (GAN + DM) with source attribution. Same group as P0005/P0010/P0014. 97%+ accuracy. Defines hierarchical detection paradigm highly relevant to our forensic analyst design.",02_Literature/papers/P0018.pdf,yes,yes,yes,36,critical,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0019,"Evaluating the Effectiveness of a Gan Fingerprint Removal Approach in Fooling Deepfake Face Detection","Wasin Alkishri, Dr. Setyawan Widyarto, Dr. Jabar H. Yousif",2024,Journal of Internet Services and Information Security,SASA Publications,10.58346/JISIS.2024.I1.006,13,unknown,GAN fingerprint removal + detection evaluation,Evaluating adversarial robustness of deepfake detectors against fingerprint removal,Image (face),No,Evaluates robustness (adversarial perspective),"Niche venue; limited reproducibility details; small scale",Stronger anti-forensic attacks; defense mechanisms; standardized robustness benchmarks,yes,no,"GAN fingerprint, deepfake detection, adversarial robustness, anti-forensics, fingerprint removal",read,medium,"Relevant for adversarial robustness understanding. Tests whether GAN fingerprints can be removed to fool detectors — important for system design.",02_Literature/papers/P0019.pdf,yes,yes,yes,14,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0020,"ProActive DeepFake Detection Using GAN-based Visible Watermarking","Aakash Varma Nadimpalli, Ajita Rattani",2024,"ACM Transactions on Multimedia Computing, Communications, and Applications",Association for Computing Machinery (ACM),10.1145/3625547,55,unknown,GAN-based visible watermarking for proactive detection,Proactive deepfake detection via watermarking,Image (face),Partial (watermark presence provides detection explanation),Not traditional generalization (proactive approach),"Requires cooperation of content creators; not applicable to existing unwatermarked content; deployment challenges",Invisible watermarking; standardization; integration with reactive detection,yes,no,"deepfake detection, watermarking, proactive detection, GAN, face detection, content authentication",read,low,"Different paradigm (proactive vs reactive). Limited relevance to our reactive detection approach but interesting for future system integration.",02_Literature/papers/P0020.pdf,yes,yes,yes,18,low,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0021,"Multiclass AI-Generated Deepfake Face Detection Using Patch-Wise Deep Learning Model","Muhammad Asad Arshed, Shahzad Mumtaz, Muhammad Ibrahim, Christine Dewi, Muhammad Tanveer, Saeed Ahmed",2024,Computers,MDPI AG,10.3390/computers13010031,67,"Custom multiclass dataset (28802 training + 7198 validation) from Kaggle + Stable Diffusion + StyleGAN2","Vision Transformer (ViT) with patch-wise processing",Multiclass deepfake face detection (real / GAN_Fake / Stable&GAN_Fake / Diffusion_Fake),Image (face),No,Tested across GAN and diffusion model categories,"Custom dataset may have bias; limited generator diversity within categories; single ViT architecture",More generators; cross-dataset evaluation; ensemble approaches; explainability,yes,yes,"deepfake detection, Vision Transformer, ViT, patch-wise, multiclass classification, GAN, diffusion model, face detection",read,high,"Highly relevant: multiclass approach distinguishing GAN vs diffusion fakes. ViT architecture with patch-wise processing. 99.9% F1 score. Directly addresses multi-generator detection.",02_Literature/papers/P0021.pdf,yes,yes,yes,26,high,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0022,"Detection of AI-Generated Synthetic Faces","Diego Gragnaniello, Francesco Marra, Luisa Verdoliva",2022,Advances in Computer Vision and Pattern Recognition,Springer International Publishing,10.1007/978-3-030-87664-7_9,27,Survey/review paper covering FaceForensics++ and other benchmarks,"Review: covers CNN-based detectors, frequency-domain methods, spatial-domain methods",Survey of synthetic face detection methods,Image (face),Discussed (surveys explainable and non-explainable approaches),Discussed (surveys generalization challenges),"Book chapter format; not primary research; may not cover latest diffusion models (2022)",Diffusion model detection; real-world deployment challenges; standardized benchmarks,yes,no,"synthetic face detection, GAN detection, survey, image forensics, CNN, frequency domain, spatial domain, review",read,high,"Important survey/review chapter by leading researchers (Verdoliva group). Provides taxonom of detection methods. Essential background reading for understanding field landscape.",02_Literature/papers/P0022.pdf,yes,yes,yes,26,high,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0023,"Diffusion Facial Forgery Detection","Harry Cheng, Yangyang Guo, Tianyi Wang, Liqiang Nie, Mohan Kankanhalli",2024,Proceedings of the 32nd ACM International Conference on Multimedia,ACM,10.1145/3664647.3680797,41,"DiFF dataset (500000+ images from 13 generation methods across 4 conditions; real images from VoxCeleb2 + CelebA: 23661 images, 1070 identities)",Edge graph regularization approach,Diffusion-generated facial forgery detection,Image (face),Partial (edge-based features provide some interpretability),Tested across 13 diffusion generation methods,"Focused on diffusion models only; binary detection accuracy below 30% for some detectors on DiFF suggesting challenge difficulty",GAN+diffusion unified detection; more robust features; real-time deployment; cross-domain generalization,yes,yes,"diffusion model, facial forgery, face detection, edge graph regularization, DiFF dataset, deepfake, ACM Multimedia",read,critical,"Top-priority paper: introduces DiFF benchmark (500K+ images, 13 generators). Edge graph regularization approach. ACM MM venue. Directly relevant to diffusion face detection and cross-generator generalization.",02_Literature/papers/P0023.pdf,yes,yes,yes,34,critical,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0024,"Deepfake detection using deep learning methods: A systematic and comprehensive review","Arash Heidari, Nima Jafari Navimipour, Hasan Dag, Mehmet Unal",2023,WIREs Data Mining and Knowledge Discovery,Wiley,10.1002/widm.1520,285,Survey paper (reviews multiple datasets),Survey: covers CNN/RNN/GAN/Transformer/Hybrid approaches,Systematic review of deepfake detection methods,Image + Video (face),Discussed (surveys XAI approaches in detection),Discussed (surveys generalization challenges across methods),"Review paper; may not cover post-2023 diffusion developments; broad scope dilutes face-specific depth",Updated surveys including diffusion era; standardized evaluation frameworks,yes,no,"deepfake detection, systematic review, deep learning, CNN, RNN, GAN, Transformer, survey, face detection",read,high,"Highest-cited paper in collection (285). Comprehensive survey providing field overview. Essential for literature review chapter and understanding state-of-the-art landscape.",02_Literature/papers/P0024.pdf,yes,yes,yes,30,high,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0025,"Face Generation and Editing With StyleGAN: A Survey","Andrew Melnik, Maksim Miasayedzenkau, Dzianis Makaravets, Dzianis Pirshtuk, Eren Akbulut, Dennis Holzmann, Tarek Renusch, Gustav Reichert, Helge Ritter",2024,IEEE Transactions on Pattern Analysis and Machine Intelligence,Institute of Electrical and Electronics Engineers (IEEE),10.1109/TPAMI.2024.3350004,92,Survey paper (reviews StyleGAN-related datasets),Survey: StyleGAN family (StyleGAN/2/3/ADA and variants),Survey of StyleGAN-based face generation and editing,Image (face),Discussed in context of generation controllability,Not applicable (generation survey),"Generation-focused; not directly about detection; may bias toward StyleGAN family",Detection implications of StyleGAN advances; comparison with diffusion approaches,yes,no,"StyleGAN, face generation, face editing, survey, GAN, deep learning, TPAMI",read,medium,"Top venue (TPAMI). Important for understanding the adversary (generator capabilities). StyleGAN understanding informs detection feature design.",02_Literature/papers/P0025.pdf,yes,yes,yes,28,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0026,"A Review of Deepfake Techniques: Architecture, Detection, and Datasets","Peter Edwards, Jean-Christophe Nebel, Darrel Greenhill, Xing Liang",2024,IEEE Access,Institute of Electrical and Electronics Engineers (IEEE),10.1109/ACCESS.2024.3477257,44,Survey paper (reviews major deepfake datasets),Survey: covers generation and detection architectures,Review of deepfake creation and detection techniques,Image + Video (face),Discussed (surveys explainability in detection),Discussed (reviews generalization challenges),"Review paper; may overlap with P0024/P0027/P0028; IEEE Access venue",Updated surveys with diffusion models; standardized comparison frameworks,yes,no,"deepfake, review, detection, GAN, architecture, dataset, survey, IEEE Access",read,medium,"Recent comprehensive review (2024). Covers both generation and detection. Good for understanding current state-of-the-art and identifying gaps.",02_Literature/papers/P0026.pdf,yes,yes,yes,22,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0027,"Digital Face Manipulation Creation and Detection: A Systematic Review","Minh Dang, Tan N. Nguyen",2023,Electronics,MDPI AG,10.3390/electronics12163407,29,Survey paper (reviews face manipulation datasets),Survey: covers creation and detection methods for digital face manipulation,Systematic review of face manipulation and detection,Image (face),Discussed,Discussed,"MDPI venue; may overlap with other reviews; scope broader than AI-generated faces",Updated to include diffusion-based manipulation; focus on emerging threats,yes,no,"face manipulation, deepfake, detection, systematic review, digital forensics, survey",read,medium,"Systematic review covering both manipulation creation and detection. Useful for understanding the broader face manipulation landscape.",02_Literature/papers/P0027.pdf,yes,yes,yes,20,medium,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
P0028,"DeepFake Detection for Human Face Images and Videos: A Survey","Asad Malik, Minoru Kuribayashi, Sani M. Abdullahi, Ahmad Neyaz Khan",2022,IEEE Access,Institute of Electrical and Electronics Engineers (IEEE),10.1109/ACCESS.2022.3151186,254,Survey paper (reviews detection datasets),Survey: covers deepfake detection methods for images and video,Survey of deepfake detection methods,Image + Video (face),Discussed,Discussed (surveys cross-dataset performance),"Pre-diffusion era survey (2022); does not cover latest diffusion model detection",Updated surveys with diffusion models; standardized benchmarks,yes,no,"deepfake detection, survey, face detection, video forensics, deep learning, image forensics",read,high,"Second-highest cited paper (254). Comprehensive survey covering both image and video detection. Essential background reference despite being pre-diffusion era.",02_Literature/papers/P0028.pdf,yes,yes,yes,26,high,Paper Registration Agent,1.0,Active,2026-07-31,2026-07-31
