Dataset ID,Width,Height,Count,Proportion,Notes
DS0002,745,759,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,979,1024,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,438,440,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,446,512,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,306,367,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,486,512,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,202,306,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,354,367,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,205,256,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,490,456,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,340,340,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,490,490,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,438,438,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,490,387,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,585,632,2,0.000667,stratified_sample_n=3000_seed=42
DS0002,527,506,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,618,632,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,634,619,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,323,367,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,507,528,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,407,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,611,730,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,759,638,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,737,638,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,402,527,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,471,527,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,737,588,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,634,454,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,634,495,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,494,632,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,632,618,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,759,745,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,596,758,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,547,759,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,628,634,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,808,911,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,512,456,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,487,487,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,408,408,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,423,457,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,282,307,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,302,307,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,423,512,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,255,220,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,381,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,256,221,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,423,491,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,253,204,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,457,512,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,323,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,222,306,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,237,255,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,387,490,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,306,302,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,381,438,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,352,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,159,212,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,187,214,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,911,808,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,348,440,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,440,434,1,0.000333,stratified_sample_n=3000_seed=42
DS0002,145,147,1,0.000333,stratified_sample_n=3000_seed=42
DS0003,256,256,3000,1.000000,stratified_sample_n=3000_seed=42
DS0004,512,512,600,0.200000,stratified_sample_n=3000_seed=42
DS0004,1024,1024,569,0.189667,stratified_sample_n=3000_seed=42
DS0004,256,256,300,0.100000,stratified_sample_n=3000_seed=42
DS0004,1360,896,177,0.059000,stratified_sample_n=3000_seed=42
DS0004,4928,3264,166,0.055333,stratified_sample_n=3000_seed=42
DS0004,1792,2304,85,0.028333,stratified_sample_n=3000_seed=42
DS0004,2304,1792,77,0.025667,stratified_sample_n=3000_seed=42
DS0004,2688,1536,77,0.025667,stratified_sample_n=3000_seed=42
DS0004,2048,2048,61,0.020333,stratified_sample_n=3000_seed=42
DS0004,4288,2848,54,0.018000,stratified_sample_n=3000_seed=42
DS0004,896,1360,52,0.017333,stratified_sample_n=3000_seed=42
DS0004,3264,4928,48,0.016000,stratified_sample_n=3000_seed=42
DS0004,1344,896,44,0.014667,stratified_sample_n=3000_seed=42
DS0004,1472,704,33,0.011000,stratified_sample_n=3000_seed=42
DS0004,1792,1024,32,0.010667,stratified_sample_n=3000_seed=42
DS0004,1600,640,31,0.010333,stratified_sample_n=3000_seed=42
DS0004,1088,896,31,0.010333,stratified_sample_n=3000_seed=42
DS0004,2848,4288,30,0.010000,stratified_sample_n=3000_seed=42
DS0004,896,1152,30,0.010000,stratified_sample_n=3000_seed=42
DS0004,1728,576,28,0.009333,stratified_sample_n=3000_seed=42
DS0004,896,1088,28,0.009333,stratified_sample_n=3000_seed=42
DS0004,768,1280,28,0.009333,stratified_sample_n=3000_seed=42
DS0004,896,1344,27,0.009000,stratified_sample_n=3000_seed=42
DS0004,960,1024,27,0.009000,stratified_sample_n=3000_seed=42
DS0004,1280,768,27,0.009000,stratified_sample_n=3000_seed=42
DS0004,768,1344,26,0.008667,stratified_sample_n=3000_seed=42
DS0004,1344,704,25,0.008333,stratified_sample_n=3000_seed=42
DS0004,1344,768,25,0.008333,stratified_sample_n=3000_seed=42
DS0004,1408,704,25,0.008333,stratified_sample_n=3000_seed=42
DS0004,832,1216,24,0.008000,stratified_sample_n=3000_seed=42
DS0004,704,1408,23,0.007667,stratified_sample_n=3000_seed=42
DS0004,1024,1792,20,0.006667,stratified_sample_n=3000_seed=42
DS0004,1152,832,20,0.006667,stratified_sample_n=3000_seed=42
DS0004,704,1344,20,0.006667,stratified_sample_n=3000_seed=42
DS0004,1664,576,19,0.006333,stratified_sample_n=3000_seed=42
DS0004,1088,960,19,0.006333,stratified_sample_n=3000_seed=42
DS0004,960,1088,18,0.006000,stratified_sample_n=3000_seed=42
DS0004,1024,960,17,0.005667,stratified_sample_n=3000_seed=42
DS0004,832,1152,17,0.005667,stratified_sample_n=3000_seed=42
DS0004,1216,832,16,0.005333,stratified_sample_n=3000_seed=42
DS0004,1536,640,15,0.005000,stratified_sample_n=3000_seed=42
DS0004,1152,896,7,0.002333,stratified_sample_n=3000_seed=42
DS0004,3008,2000,2,0.000667,stratified_sample_n=3000_seed=42
DS0005,224,224,3000,1.000000,stratified_sample_n=3000_seed=42
