Source Paper ID,Target Paper ID,Relationship Type,Source Field,Evidence
P0007,P0016,cross_reference,Summary Connections,Explicit connection cited in P0007_summary.md
P0007,P0018,cross_reference,Summary Connections,Explicit connection cited in P0007_summary.md
P0007,P0021,cross_reference,Summary Connections,Explicit connection cited in P0007_summary.md
P0007,P0023,cross_reference,Summary Connections,Explicit connection cited in P0007_summary.md
P0008,P0006,cross_reference,Summary Connections,Explicit connection cited in P0008_summary.md
P0008,P0015,cross_reference,Summary Connections,Explicit connection cited in P0008_summary.md
P0008,P0025,cross_reference,Summary Connections,Explicit connection cited in P0008_summary.md
P0009,P0018,cross_reference,Summary Connections,Explicit connection cited in P0009_summary.md
P0009,P0025,cross_reference,Summary Connections,Explicit connection cited in P0009_summary.md
P0010,P0003,cross_reference,Summary Connections,Explicit connection cited in P0010_summary.md
P0010,P0005,cross_reference,Summary Connections,Explicit connection cited in P0010_summary.md
P0010,P0014,cross_reference,Summary Connections,Explicit connection cited in P0010_summary.md
P0010,P0014,same_research_group,Authors,Co-authored by Luca Guarnera
P0010,P0018,cross_reference,Summary Connections,Explicit connection cited in P0010_summary.md
P0010,P0018,same_research_group,Authors,Co-authored by Luca Guarnera
P0010,P0019,cross_reference,Summary Connections,Explicit connection cited in P0010_summary.md
P0011,P0002,cross_reference,Summary Connections,Explicit connection cited in P0011_summary.md
P0011,P0007,cross_reference,Summary Connections,Explicit connection cited in P0011_summary.md
P0012,P0004,cross_reference,Summary Connections,Explicit connection cited in P0012_summary.md
P0013,P0003,cross_reference,Summary Connections,Explicit connection cited in P0013_summary.md
P0013,P0007,cross_reference,Summary Connections,Explicit connection cited in P0013_summary.md
P0013,P0010,cross_reference,Summary Connections,Explicit connection cited in P0013_summary.md
P0013,P0017,cross_reference,Summary Connections,Explicit connection cited in P0013_summary.md
P0013,P0017,same_research_group,Authors,Co-authored by Manoj Kumar
P0014,P0005,cross_reference,Summary Connections,Explicit connection cited in P0014_summary.md
P0014,P0007,cross_reference,Summary Connections,Explicit connection cited in P0014_summary.md
P0014,P0010,cross_reference,Summary Connections,Explicit connection cited in P0014_summary.md
P0014,P0018,cross_reference,Summary Connections,Explicit connection cited in P0014_summary.md
P0014,P0018,same_research_group,Authors,Co-authored by Luca Guarnera
P0014,P0023,cross_reference,Summary Connections,Explicit connection cited in P0014_summary.md
P0015,P0005,cross_reference,Summary Connections,Explicit connection cited in P0015_summary.md
P0015,P0008,cross_reference,Summary Connections,Explicit connection cited in P0015_summary.md
P0015,P0018,cross_reference,Summary Connections,Explicit connection cited in P0015_summary.md
P0016,P0003,cross_reference,Summary Connections,Explicit connection cited in P0016_summary.md
P0016,P0007,cross_reference,Summary Connections,Explicit connection cited in P0016_summary.md
P0016,P0018,cross_reference,Summary Connections,Explicit connection cited in P0016_summary.md
P0016,P0021,cross_reference,Summary Connections,Explicit connection cited in P0016_summary.md
P0016,P0023,cross_reference,Summary Connections,Explicit connection cited in P0016_summary.md
P0017,P0007,cross_reference,Summary Connections,Explicit connection cited in P0017_summary.md
P0017,P0013,cross_reference,Summary Connections,Explicit connection cited in P0017_summary.md
P0018,P0003,cross_reference,Summary Connections,Explicit connection cited in P0018_summary.md
P0018,P0005,cross_reference,Summary Connections,Explicit connection cited in P0018_summary.md
P0018,P0007,cross_reference,Summary Connections,Explicit connection cited in P0018_summary.md
P0018,P0010,cross_reference,Summary Connections,Explicit connection cited in P0018_summary.md
P0018,P0014,cross_reference,Summary Connections,Explicit connection cited in P0018_summary.md
P0018,P0016,cross_reference,Summary Connections,Explicit connection cited in P0018_summary.md
P0018,P0021,cross_reference,Summary Connections,Explicit connection cited in P0018_summary.md
P0018,P0023,cross_reference,Summary Connections,Explicit connection cited in P0018_summary.md
P0019,P0003,cross_reference,Summary Connections,Explicit connection cited in P0019_summary.md
P0019,P0005,cross_reference,Summary Connections,Explicit connection cited in P0019_summary.md
P0019,P0010,cross_reference,Summary Connections,Explicit connection cited in P0019_summary.md
P0020,P0007,cross_reference,Summary Connections,Explicit connection cited in P0020_summary.md
P0020,P0018,cross_reference,Summary Connections,Explicit connection cited in P0020_summary.md
P0021,P0007,cross_reference,Summary Connections,Explicit connection cited in P0021_summary.md
P0021,P0016,cross_reference,Summary Connections,Explicit connection cited in P0021_summary.md
P0021,P0018,cross_reference,Summary Connections,Explicit connection cited in P0021_summary.md
P0021,P0025,cross_reference,Summary Connections,Explicit connection cited in P0021_summary.md
P0022,P0003,cross_reference,Summary Connections,Explicit connection cited in P0022_summary.md
P0022,P0005,cross_reference,Summary Connections,Explicit connection cited in P0022_summary.md
P0022,P0010,cross_reference,Summary Connections,Explicit connection cited in P0022_summary.md
P0022,P0024,cross_reference,Summary Connections,Explicit connection cited in P0022_summary.md
P0022,P0028,cross_reference,Summary Connections,Explicit connection cited in P0022_summary.md
P0023,P0003,cross_reference,Summary Connections,Explicit connection cited in P0023_summary.md
P0023,P0006,cross_reference,Summary Connections,Explicit connection cited in P0023_summary.md
P0023,P0007,cross_reference,Summary Connections,Explicit connection cited in P0023_summary.md
P0023,P0016,cross_reference,Summary Connections,Explicit connection cited in P0023_summary.md
P0023,P0018,cross_reference,Summary Connections,Explicit connection cited in P0023_summary.md
P0024,P0007,cross_reference,Summary Connections,Explicit connection cited in P0024_summary.md
P0024,P0018,cross_reference,Summary Connections,Explicit connection cited in P0024_summary.md
P0024,P0022,cross_reference,Summary Connections,Explicit connection cited in P0024_summary.md
P0024,P0023,cross_reference,Summary Connections,Explicit connection cited in P0024_summary.md
P0024,P0026,cross_reference,Summary Connections,Explicit connection cited in P0024_summary.md
P0024,P0028,cross_reference,Summary Connections,Explicit connection cited in P0024_summary.md
P0025,P0005,cross_reference,Summary Connections,Explicit connection cited in P0025_summary.md
P0025,P0008,cross_reference,Summary Connections,Explicit connection cited in P0025_summary.md
P0025,P0014,cross_reference,Summary Connections,Explicit connection cited in P0025_summary.md
P0025,P0018,cross_reference,Summary Connections,Explicit connection cited in P0025_summary.md
P0026,P0022,cross_reference,Summary Connections,Explicit connection cited in P0026_summary.md
P0026,P0024,cross_reference,Summary Connections,Explicit connection cited in P0026_summary.md
P0026,P0027,cross_reference,Summary Connections,Explicit connection cited in P0026_summary.md
P0026,P0028,cross_reference,Summary Connections,Explicit connection cited in P0026_summary.md
P0027,P0022,cross_reference,Summary Connections,Explicit connection cited in P0027_summary.md
P0027,P0024,cross_reference,Summary Connections,Explicit connection cited in P0027_summary.md
P0027,P0026,cross_reference,Summary Connections,Explicit connection cited in P0027_summary.md
P0027,P0028,cross_reference,Summary Connections,Explicit connection cited in P0027_summary.md
P0028,P0007,cross_reference,Summary Connections,Explicit connection cited in P0028_summary.md
P0028,P0022,cross_reference,Summary Connections,Explicit connection cited in P0028_summary.md
P0028,P0024,cross_reference,Summary Connections,Explicit connection cited in P0028_summary.md
P0028,P0026,cross_reference,Summary Connections,Explicit connection cited in P0028_summary.md
P0028,P0027,cross_reference,Summary Connections,Explicit connection cited in P0028_summary.md
